listing_id,product_family_key,brand,device_type,price_usd,condition_grade,condition_tier,gpu_brand,processor_brand,processor_family,processor_generation,processor_speed_ghz,os,storage_type,hdd_capacity_gb,ssd_capacity_gb,total_storage_gb,storage_tier,ram_gb,ram_tier,screen_size_inch,screen_tier,display_width_px,display_height_px,color,feature_count,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_wifi
1110,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,856.5,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1111,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,805.5,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1112,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,525.0,Unknown,Unknown,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1113,Dell_i5_Unk_256GB_12-14in,Dell,Notebook/Laptop,401.8,Used,Used,Intel,Intel,i5,6.0,2.8,Windows,Unknown,,240.0,240.0,256GB,,Unk,12.5,12-14in,1920.0,1080.0,Other,7,True,True,True,True
1114,Lenovo_i5_Unk_256GB_12-14in,Lenovo,Notebook/Laptop,465.5,Used,Used,Intel,Intel,i5,4.0,1.99,Windows,SSD,,240.0,240.0,256GB,,Unk,12.5,12-14in,1280.0,720.0,Other,6,False,False,True,True
1115,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,328.8,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Black,0,False,False,False,False
1116,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,89.8,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1118,Samsung_Unknown_Unk_Unk_Unk,Samsung,Other,127.8,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1119,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,42.2,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1120,Dell_i5_Unk_256GB_12-14in,Dell,Notebook/Laptop,444.5,Used,Used,Intel,Intel,i5,6.0,2.8,Windows,Unknown,,240.0,240.0,256GB,,Unk,12.5,12-14in,1920.0,1080.0,Other,6,True,True,True,True
1121,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,93.94,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1122,Lenovo_i5_Unk_2TB_14-16in,Lenovo,Notebook/Laptop,656.5,Used,Used,Intel,Intel,i5,6.0,2.8,Windows,Unknown,,2000.0,2000.0,2TB,,Unk,14.0,14-16in,1920.0,1080.0,Other,5,False,True,True,True
1123,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,334.0,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1124,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,205.1,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1125,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,141.5,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1126,Other/Unbranded_i5_Unk_2TB_12-14in,Other/Unbranded,Notebook/Laptop,707.5,Refurbished - Seller Grade,Refurbished,Intel,Intel,i5,6.0,2.3,Windows,SSD,,2000.0,2000.0,2TB,,Unk,13.3,12-14in,1280.0,720.0,Other,4,False,False,True,True
1127,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,336.2,Used,Used,Nvidia,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1128,Dell_i5_8GB_256GB_14-16in,Dell,Notebook/Laptop,129.6,For Parts / Not Working,End-of-Life,Intel,Intel,i5,6.0,2.4,Unknown,OTHER,,256.0,256.0,256GB,8.0,8GB,14.0,14-16in,1366.0,768.0,Black,4,False,False,True,True
1129,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,58.97,Unknown,Unknown,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1130,Dell_i5_Unk_128GB_14-16in,Dell,Notebook/Laptop,334.5,Refurbished - Seller Grade,Refurbished,Intel,Intel,i5,5.0,,Windows,Unknown,,120.0,120.0,128GB,,Unk,14.0,14-16in,1280.0,720.0,Other,0,False,False,False,False
1131,LG_Unknown_Unk_Unk_Unk,LG,Other,94.0,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1132,Lenovo_i5_Unk_256GB_12-14in,Lenovo,Other,323.0,Used,Used,Intel,Intel,i5,4.0,,Windows,Unknown,,240.0,240.0,256GB,,Unk,13.3,12-14in,1280.0,720.0,Other,1,False,False,False,False
1133,Dell_i5_Unk_256GB_14-16in,Dell,Notebook/Laptop,280.0,Used,Used,Intel,Intel,i5,3.0,3.0,Windows,Unknown,,240.0,240.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Other,2,False,False,False,True
1134,HP_Unknown_Unk_Unk_Unk,HP,Other,119.06,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1135,Other/Unbranded_pentium_Unk_Unk_14-16in,Other/Unbranded,Other,22.0,For Parts / Not Working,End-of-Life,Other,Intel,pentium,,,Unknown,Unknown,,,,Unk,,Unk,15.0,14-16in,,,Other,0,False,False,False,False
1136,LG_Unknown_Unk_Unk_Unk,LG,Other,90.44,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1137,Dell_i5_Unk_2TB_14-16in,Dell,Notebook/Laptop,499.0,Used,Used,Intel,Intel,i5,4.0,2.6,Windows,Unknown,,2000.0,2000.0,2TB,,Unk,14.0,14-16in,1280.0,720.0,Other,3,False,False,False,True
1138,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,87.56,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1139,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,49.62,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1140,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,82.2,Unknown,Unknown,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1141,AUO_Unknown_Unk_Unk_Unk,AUO,Other,69.25,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1142,Dell_i5_Unk_512GB_12-14in,Dell,Notebook/Laptop,463.2,Used,Used,Intel,Intel,i5,6.0,2.3,Windows,SSD,,480.0,480.0,512GB,,Unk,12.5,12-14in,1920.0,1080.0,Other,4,True,False,True,True
1143,LG_Unknown_Unk_Unk_Unk,LG,Other,95.3,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1144,Lenovo_i5_Unk_128GB_12-14in,Lenovo,Notebook/Laptop,427.2,Used,Used,Intel,Intel,i5,4.0,1.99,Windows,SSD,,120.0,120.0,128GB,,Unk,12.5,12-14in,1280.0,720.0,Other,6,False,False,True,True
1145,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,104.6,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1146,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,264.2,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1147,AUO_Unknown_Unk_Unk_Unk,AUO,Other,75.2,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1148,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,205.2,Unknown,Unknown,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1149,AUO_Unknown_Unk_Unk_Unk,AUO,Other,61.12,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1150,Dell_i5_Unk_256GB_12-14in,Dell,Notebook/Laptop,451.5,Used,Used,Intel,Intel,i5,6.0,2.8,Windows,Unknown,,240.0,240.0,256GB,,Unk,12.5,12-14in,1920.0,1080.0,Black,5,True,False,True,True
1151,Dell_i5_Unk_256GB_14-16in,Dell,Notebook/Laptop,339.8,Used,Used,Intel,Intel,i5,4.0,,Windows,Unknown,,240.0,240.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Other,0,False,False,False,False
1152,Acer_celeron_Unk_Unk_14-16in,Acer,Other,27.77,For Parts / Not Working,End-of-Life,Other,Intel,celeron,,,Unknown,Unknown,,,,Unk,,Unk,15.4,14-16in,,,Other,0,False,False,False,False
1153,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,329.8,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1154,Dell_i5_Unk_1TB_14-16in,Dell,Notebook/Laptop,469.0,Refurbished - Seller Grade,Refurbished,Intel,Intel,i5,3.0,3.1,Windows,Unknown,,960.0,960.0,1TB,,Unk,14.0,14-16in,1280.0,720.0,Other,2,False,False,False,True
1155,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,206.1,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1156,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,258.2,Refurbished - Good,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1157,Dell_i5_Unk_256GB_12-14in,Dell,Notebook/Laptop,444.5,Used,Used,Intel,Intel,i5,6.0,2.8,Windows,Unknown,,240.0,240.0,256GB,,Unk,12.5,12-14in,1920.0,1080.0,Other,6,True,True,True,True
1158,Lenovo_i5_Unk_256GB_14-16in,Lenovo,Notebook/Laptop,636.5,Used,Used,Intel,Intel,i5,6.0,3.0,Windows,SSD,,240.0,240.0,256GB,,Unk,14.0,14-16in,1920.0,1080.0,Black,5,True,False,True,True
1159,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,226.9,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1160,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,628.0,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1161,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,Notebook/Laptop,584.5,Unknown,Unknown,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Black,0,False,False,False,False
1162,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,157.2,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1163,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,105.0,Unknown,Unknown,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1164,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,341.5,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Black,0,False,False,False,False
1165,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,523.5,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1166,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,475.8,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1167,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,50.78,Unknown,Unknown,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,1024.0,600.0,Other,0,False,False,False,False
1168,Lenovo_i3_Unk_128GB_12-14in,Lenovo,Other,462.8,Used,Used,Intel,Intel,i3,7.0,,Windows,Unknown,,120.0,120.0,128GB,,Unk,13.3,12-14in,1280.0,720.0,Black,1,False,False,False,False
1169,Dell_i5_Unk_256GB_14-16in,Dell,Notebook/Laptop,335.8,Used,Used,Nvidia,Intel,i5,4.0,2.6,Windows,Unknown,,240.0,240.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Other,3,False,False,False,True
1170,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,541.0,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1171,Other/Unbranded_i3_Unk_512GB_12-14in,Other/Unbranded,Notebook/Laptop,473.8,Used,Used,Intel,Intel,i3,4.0,3.0,Windows,SSD,,480.0,480.0,512GB,,Unk,13.3,12-14in,1280.0,720.0,Black,4,False,False,True,True
1172,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,100.0,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1173,LG_Unknown_Unk_Unk_Unk,LG,Other,69.75,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1174,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,303.8,Refurbished - Seller Grade,Refurbished,Nvidia,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Black,0,False,False,False,False
1175,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,463.5,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1176,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,818.0,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1177,Lenovo_i5_Unk_128GB_12-14in,Lenovo,Notebook/Laptop,433.5,Used,Used,Intel,Intel,i5,4.0,1.99,Windows,SSD,,120.0,120.0,128GB,,Unk,12.5,12-14in,1280.0,720.0,Other,6,False,False,True,True
1178,Dell_i5_Unk_1TB_14-16in,Dell,Notebook/Laptop,437.2,Used,Used,Intel,Intel,i5,3.0,3.0,Windows,SSD,,960.0,960.0,1TB,,Unk,14.0,14-16in,1280.0,720.0,Other,2,False,False,False,True
1179,Dell_i5_Unk_128GB_12-14in,Dell,Notebook/Laptop,424.8,Used,Used,Intel,Intel,i5,6.0,2.8,Windows,Unknown,,120.0,120.0,128GB,,Unk,12.5,12-14in,1920.0,1080.0,Black,7,True,True,True,True
1180,LG_Unknown_Unk_Unk_Unk,LG,Other,93.44,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1181,Dell_i5_Unk_256GB_12-14in,Dell,Notebook/Laptop,423.5,Used,Used,Intel,Intel,i5,6.0,2.8,Windows,Unknown,,240.0,240.0,256GB,,Unk,12.5,12-14in,1920.0,1080.0,Other,6,True,True,True,True
1182,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,355.0,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Black,0,False,False,False,False
1183,LG_Unknown_Unk_Unk_Unk,LG,Other,132.8,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1184,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,133.1,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1185,AUO_Unknown_Unk_Unk_Unk,AUO,Other,74.56,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1186,Lenovo_i3_Unk_128GB_14-16in,Lenovo,Notebook/Laptop,454.0,Used,Used,Intel,Intel,i3,7.0,3.0,Windows,HDD/SSD,,120.0,120.0,128GB,,Unk,15.6,14-16in,1920.0,1080.0,Other,6,False,False,True,True
1187,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,131.6,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1188,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,109.9,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1189,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,71.25,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1190,Dell_i5_Unk_256GB_14-16in,Dell,Notebook/Laptop,427.0,Used,Used,Intel,Intel,i5,2.0,3.0,Windows,SSD,,240.0,240.0,256GB,,Unk,15.6,14-16in,1280.0,720.0,Other,2,False,False,False,True
1191,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,405.2,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1192,Other/Unbranded_i5_Unk_1TB_14-16in,Other/Unbranded,Notebook/Laptop,564.5,Used,Used,Intel,Intel,i5,4.0,3.0,Windows,SSD,,960.0,960.0,1TB,,Unk,15.6,14-16in,1280.0,720.0,Black,4,False,False,True,True
1193,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,86.3,Unknown,Unknown,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1194,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,346.2,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1195,Other/Unbranded_i3_Unk_256GB_14-16in,Other/Unbranded,Notebook/Laptop,397.8,Used,Used,Intel,Intel,i3,6.0,3.0,Windows,SSD,,240.0,240.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Black,5,False,False,True,True
1196,AUO_Unknown_Unk_Unk_Unk,AUO,Other,71.44,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1197,LG_Unknown_Unk_Unk_Unk,LG,Other,127.8,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1198,Dell_i5_Unk_256GB_14-16in,Dell,Notebook/Laptop,345.2,Used,Used,Intel,Intel,i5,5.0,2.7,Windows,Unknown,,240.0,240.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Other,3,False,False,False,True
1199,Dell_i5_Unk_256GB_12-14in,Dell,Notebook/Laptop,422.8,Used,Used,Intel,Intel,i5,6.0,2.8,Windows,Unknown,,240.0,240.0,256GB,,Unk,12.5,12-14in,1920.0,1080.0,Other,6,True,True,True,True
1200,Dell_Unknown_Unk_Unk_Unk,Dell,Other,72.0,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1201,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,591.0,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Black,0,False,False,False,False
1202,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,86.75,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1203,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,445.8,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1204,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,633.0,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Black,0,False,False,False,False
1205,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,314.8,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1206,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,278.8,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1207,Lenovo_i3_Unk_256GB_14-16in,Lenovo,Notebook/Laptop,519.5,Used,Used,Intel,Intel,i3,7.0,3.0,Windows,HDD/SSD,,240.0,240.0,256GB,,Unk,15.6,14-16in,1920.0,1080.0,Black,6,False,False,True,True
1208,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,396.0,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1209,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,552.5,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1210,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,10.85,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1211,Other/Unbranded_i5_Unk_512GB_12-14in,Other/Unbranded,Notebook/Laptop,412.0,Used,Used,Intel,Intel,i5,6.0,2.3,Windows,SSD,,480.0,480.0,512GB,,Unk,13.3,12-14in,1280.0,720.0,Gray,4,False,False,True,True
1212,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,458.8,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1213,Lenovo_i5_Unk_512GB_12-14in,Lenovo,Notebook/Laptop,497.2,Used,Used,Intel,Intel,i5,4.0,1.99,Windows,SSD,,480.0,480.0,512GB,,Unk,12.5,12-14in,1280.0,720.0,Other,6,False,False,True,True
1214,Dell_i5_Unk_128GB_14-16in,Dell,Notebook/Laptop,321.2,Refurbished - Seller Grade,Refurbished,Nvidia,Intel,i5,4.0,2.6,Windows,Unknown,,120.0,120.0,128GB,,Unk,14.0,14-16in,1280.0,720.0,Other,3,False,False,False,True
1215,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,512.5,Refurbished - Seller Grade,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1216,Lenovo_i5_Unk_256GB_14-16in,Lenovo,Notebook/Laptop,458.0,Used,Used,Intel,Intel,i5,3.0,3.0,Windows,SSD,,240.0,240.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Black,4,False,False,True,True
1217,Dell_i7_Unk_1TB_12-14in,Dell,Notebook/Laptop,462.8,Used,Used,Intel,Intel,i7,6.0,2.5,Windows,Unknown,500.0,500.0,1000.0,1TB,,Unk,13.3,12-14in,1366.0,768.0,Gray,5,True,False,True,True
1218,Dell_i5_Unk_256GB_14-16in,Dell,Other,378.5,Used,Used,Intel,Intel,i5,6.0,,Windows,Unknown,,256.0,256.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Black,0,False,False,False,False
1219,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,378.5,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1220,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,466.8,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1221,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,204.5,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1222,Dell_i5_Unk_256GB_14-16in,Dell,Notebook/Laptop,379.2,Used,Used,Intel,Intel,i5,4.0,2.6,Windows,Unknown,,240.0,240.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Black,3,False,False,False,True
1223,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,487.2,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1224,Lenovo_i3_Unk_128GB_14-16in,Lenovo,Notebook/Laptop,538.5,Used,Used,Intel,Intel,i3,10.0,1.49,Windows,SSD,,120.0,120.0,128GB,,Unk,15.6,14-16in,1920.0,1080.0,Gray,4,False,False,True,True
1225,Other/Unbranded_i7_Unk_2TB_14-16in,Other/Unbranded,Notebook/Laptop,2326.0,Refurbished - Seller Grade,Refurbished,Intel,Intel,i7,,1.8,Windows,SSD,,2000.0,2000.0,2TB,,Unk,14.0,14-16in,1920.0,1080.0,Other,6,False,False,True,True
1226,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,571.5,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1227,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,90.75,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
1228,Lenovo_i5_8GB_256GB_14-16in,Lenovo,Notebook/Laptop,453.8,Unknown,Unknown,Intel,Intel,i5,,2.1,Windows,SSD,128.0,128.0,256.0,256GB,8.0,8GB,14.0,14-16in,1600.0,900.0,Other,1,False,False,False,False
1229,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,453.8,Used,Used,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
