listing_id,product_family_key,brand,device_type,price_usd,condition_grade,condition_tier,gpu_brand,processor_brand,processor_family,processor_generation,processor_speed_ghz,os,storage_type,hdd_capacity_gb,ssd_capacity_gb,total_storage_gb,storage_tier,ram_gb,ram_tier,screen_size_inch,screen_tier,display_width_px,display_height_px,color,feature_count,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_wifi
2272,Dell_i5_8GB_256GB_14-16in,Dell,Notebook/Laptop,107.94,Used,Used,Intel,Intel,i5,,2.4,Windows,SSD,,256.0,256.0,256GB,8.0,8GB,14.0,14-16in,1366.0,768.0,Black,5,False,True,True,True
2273,HP_celeron_4GB_32GB_Sub-12in,HP,Notebook/Laptop,54.0,Used,Used,Intel,Intel,celeron,,1.6,Chrome,SSD,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,2,False,False,True,False
2274,Lenovo_Other/Unspecified_Unk_Unk_14-16in,Lenovo,Notebook/Laptop,94.94,Used,Used,Other,Other,Other/Unspecified,,,Windows,Unknown,,,,Unk,,Unk,15.0,14-16in,,,Other,0,False,False,False,False
2275,Asus_i7_16GB_1TB_14-16in,Asus,Notebook/Laptop,295.0,Used,Used,Nvidia,Intel,i7,,2.4,Windows,HDD/SSD,500.0,500.0,1000.0,1TB,16.0,16GB,15.0,14-16in,1920.0,1080.0,Gray,9,True,True,True,True
2276,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,205.6,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
2277,HP_i7_32GB+_2TB+_14-16in,HP,Notebook/Laptop,720.0,New,New,Intel,Intel,i7,13.0,5.0,Windows,SSD,,4000.0,4000.0,2TB+,64.0,32GB+,15.6,14-16in,1920.0,1080.0,Black,4,True,False,True,False
2278,Other/Unbranded_i7_Unk_Unk_14-16in,Other/Unbranded,Notebook/Laptop,400.0,Used,Used,Other,Intel,i7,8.0,,Unknown,Unknown,,,,Unk,,Unk,14.1,14-16in,,,Other,0,False,False,False,False
2279,Dell_i5_16GB_1TB_14-16in,Dell,Notebook/Laptop,190.0,Used,Used,Other,Intel,i5,4.0,2.1,Windows,SSD,,1000.0,1000.0,1TB,16.0,16GB,14.0,14-16in,,,Other,5,False,True,True,True
2280,Other/Unbranded_i7_16GB_256GB_14-16in,Other/Unbranded,Other,284.0,Used,Used,Amd,Intel,i7,,2.5,Windows,OTHER,,256.0,256.0,256GB,16.0,16GB,15.6,14-16in,1920.0,1080.0,Black,5,False,True,True,True
2281,Other/Unbranded_celeron_2GB_16GB_14-16in,Other/Unbranded,Notebook/Laptop,40.0,Used,Used,Other,Intel,celeron,,1.5,Unknown,HDD/SSD,2.0,,2.0,16GB,2.0,2GB,15.0,14-16in,,,Black,0,False,False,False,False
2282,Lenovo_celeron_32GB_64GB_Sub-12in,Lenovo,Other,110.0,New,New,Other,Intel,celeron,,1.1,Chrome,EMMC,32.0,32.0,64.0,64GB,32.0,32GB,11.6,Sub-12in,1366.0,768.0,Black,5,False,False,True,True
2283,Lenovo_Other/Unspecified_Unk_16GB_Sub-12in,Lenovo,Other,31.66,Used,Used,Other,Intel,Other/Unspecified,,1.83,Chrome,SSD,,16.0,16.0,16GB,,Unk,11.6,Sub-12in,1366.0,768.0,Black,0,False,False,False,False
2284,Other/Unbranded_i5_Unk_Unk_12-14in,Other/Unbranded,Other,348.0,Used,Used,Other,Intel,i5,6.0,2.4,Unknown,SSD,,,,Unk,,Unk,13.3,12-14in,,,Other,0,False,False,False,False
2285,Microsoft_i5_Unk_1TB_12-14in,Microsoft,Notebook/Laptop,24.98,Used,Used,Intel,Intel,i5,9.0,2.4,Windows,SSD,512.0,128.0,640.0,1TB,,Unk,13.0,12-14in,2256.0,1504.0,Other,0,False,False,False,False
2286,HP_i7_16GB_512GB_14-16in,HP,Notebook/Laptop,650.0,Unknown,Unknown,Intel,Intel,i7,10.0,1.8,Windows,SSD,,512.0,512.0,512GB,16.0,16GB,15.6,14-16in,3840.0,2160.0,Black,6,True,True,True,True
2287,Dell_i5_Unk_512GB_14-16in,Dell,Notebook/Laptop,368.8,Used,Used,Intel,Intel,i5,3.0,3.0,Windows,Unknown,,480.0,480.0,512GB,,Unk,14.0,14-16in,1280.0,720.0,Other,2,False,False,False,True
2288,Dell_celeron_4GB_256GB_Sub-12in,Dell,Notebook/Laptop,90.0,Unknown,Unknown,Intel,Intel,celeron,,1.1,Windows,SSD,128.0,128.0,256.0,256GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,1,True,False,False,False
2289,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,184.9,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
