product_family_key,brand,listing_count,avg_market_price_usd,median_market_price_usd,pct_new,pct_used,pct_refurbished,pct_end_of_life,refurb_viability_pct,avg_ram_gb,avg_storage_gb,common_screen_tier,processor_family,sku_id,estimated_msrp_usd,weighted_failure_rate_pct,component_reliability_score,parts_circularity_raw,parts_circularity_score,top_failing_component,highest_resale_component,resale_value_retention_pct,resale_value_retention_score,circularity_score,circularity_tier,buyback_refurb_recommended
Lenovo_i3_Unk_128GB_12-14in,Lenovo,12,445.42,439.9,0.0,91.66666666666666,8.333333333333332,0.0,8.333333333333332,,121.33,12-14in,i3,SKU-0042,532.0,5.28271,78.86916,31.851599999999998,57.332879999999996,Motherboard,Display Panel,83.72,83.72493734335839,62.2,Medium,False
Other/Unbranded_Unknown_Unk_Unk_Sub-12in,Other/Unbranded,6,445.72,51.0,0.0,100.0,0.0,0.0,0.0,,,Sub-12in,Unknown,SKU-0087,532.4,4.5441,81.8236,33.5031,60.305580000000006,Motherboard,Display Panel,83.72,83.71994740796393,61.8,Medium,False
Dell_celeron_4GB_64GB_Sub-12in,Dell,6,223.88,110.12,16.666666666666664,50.0,16.666666666666664,0.0,33.33333333333333,4.0,64.0,Sub-12in,celeron,SKU-0095,361.6,3.15263,87.38948,31.2484,56.24712,Motherboard,Display Panel,61.91,61.91233407079646,61.4,Medium,False
Other/Unbranded_i3_Unk_128GB_12-14in,Other/Unbranded,8,420.36,430.75,0.0,100.0,0.0,0.0,0.0,,120.0,12-14in,i3,SKU-0061,532.0,4.35903,82.56388,35.786300000000004,64.41534000000001,Motherboard,Display Panel,79.02,79.015507518797,61.2,Medium,False
Other/Unbranded_i5_8GB_512GB_14-16in,Other/Unbranded,5,434.0,350.0,20.0,40.0,20.0,0.0,40.0,8.0,509.6,14-16in,i5,SKU-0120,710.8,4.0049,83.9804,27.8456,50.122080000000004,Motherboard,Display Panel,61.06,61.057962858750706,60.4,Medium,False
Other/Unbranded_i3_Unk_256GB_12-14in,Other/Unbranded,13,386.46,390.8,0.0,84.61538461538461,15.384615384615385,0.0,15.384615384615385,,246.15,12-14in,i3,SKU-0037,550.0,5.08887,79.64452,34.9506,62.911080000000005,Motherboard,Display Panel,70.27,70.26573426573425,60.2,Medium,False
Other/Unbranded_i5_Unk_512GB_14-16in,Other/Unbranded,7,522.04,508.5,0.0,100.0,0.0,0.0,0.0,,480.0,14-16in,i5,SKU-0077,706.0,3.11118,87.55528,33.2498,59.84964,Motherboard,Display Panel,73.94,73.94374747065966,59.7,Medium,False
Lenovo_i5_Unk_256GB_14-16in,Lenovo,34,472.49,446.25,11.76470588235294,82.35294117647058,5.88235294117647,0.0,17.647058823529413,,242.35,14-16in,i5,SKU-0010,670.0,4.3388599999999995,82.64456,30.017699999999998,54.031859999999995,Motherboard,RAM Module,70.52,70.52107111501317,59.7,Medium,False
HP_i7_16GB_512GB_14-16in,HP,12,498.33,549.5,8.333333333333332,16.666666666666664,33.33333333333333,8.333333333333332,41.66666666666667,16.0,511.0,14-16in,i7,SKU-0045,973.0,3.18248,87.27008000000001,30.697200000000002,55.254960000000004,Battery,Display Panel,51.22,51.21616992120589,59.1,Medium,False
LG_Unknown_Unk_Unk_Unk,LG,64,116.13,95.15,95.3125,0.0,0.0,0.0,96.875,,,Unk,Unknown,SKU-0005,532.4,3.41496,86.34016,27.773400000000002,49.99212000000001,Motherboard,Display Panel,21.81,21.81289913598798,58.6,Medium,False
Other/Unbranded_i5_Unk_128GB_14-16in,Other/Unbranded,9,459.68,463.2,0.0,88.88888888888889,11.11111111111111,0.0,11.11111111111111,,120.0,14-16in,i5,SKU-0058,652.0,5.1936800000000005,79.22528,32.868100000000005,59.16258000000001,Motherboard,Display Panel,70.5,70.5027266530334,58.5,Medium,False
Samsung_celeron_4GB_32GB_14-16in,Samsung,6,148.83,132.25,0.0,0.0,16.666666666666664,0.0,50.0,4.0,32.0,14-16in,celeron,SKU-0099,356.8,3.3057600000000003,86.77696,33.7121,60.68178,Motherboard,Display Panel,41.71,41.71337817638266,58.4,Medium,False
HP_i3_8GB_512GB_14-16in,HP,9,265.0,320.0,44.44444444444444,22.22222222222222,11.11111111111111,0.0,55.55555555555556,8.0,469.33,14-16in,i3,SKU-0056,590.8,4.79782,80.80872,31.3873,56.49714,Motherboard,Display Panel,44.85,44.85443466486121,58.3,Medium,False
Dell_i5_Unk_128GB_12-14in,Dell,23,407.19,413.0,0.0,95.65217391304348,4.3478260869565215,0.0,4.3478260869565215,,120.0,12-14in,i5,SKU-0016,652.0,3.54487,85.82052,39.2343,70.62174,Motherboard,Display Panel,62.45,62.452654041077615,58.3,Medium,False
Other/Unbranded_i5_Unk_512GB_12-14in,Other/Unbranded,5,442.2,429.2,0.0,80.0,20.0,0.0,20.0,,480.0,12-14in,i5,SKU-0108,706.0,3.4749499999999998,86.1002,29.8222,53.67996,Motherboard,Display Panel,62.63,62.63456090651558,58.2,Medium,False
Dell_Unknown_Unk_Unk_Unk,Dell,6,228.92,96.78,50.0,33.33333333333333,0.0,0.0,66.66666666666666,,,Unk,Unknown,SKU-0092,532.4,5.92378,76.30488,29.5812,53.246159999999996,Motherboard,Display Panel,43.0,42.997119959929876,58.1,Medium,False
Lenovo_Unknown_Unk_Unk_Unk,Lenovo,25,228.88,74.3,56.00000000000001,4.0,0.0,0.0,56.00000000000001,,,Unk,Unknown,SKU-0013,532.4,4.68681,81.25276,30.7111,55.279979999999995,Motherboard,Display Panel,42.99,42.990232907588286,57.6,Medium,False
Lenovo_i5_Unk_512GB_14-16in,Lenovo,20,461.8,395.4,0.0,90.0,5.0,0.0,10.0,,484.2,14-16in,i5,SKU-0018,706.0,5.002000000000001,79.99199999999999,35.0249,63.04482000000001,Motherboard,Display Panel,65.41,65.41076487252124,57.5,Medium,False
Lenovo_i5_Unk_256GB_12-14in,Lenovo,10,458.4,462.0,0.0,90.0,10.0,0.0,10.0,,240.0,12-14in,i5,SKU-0053,670.0,4.43943,82.24228,30.6255,55.1259,Motherboard,Display Panel,68.42,68.41791044776119,57.5,Medium,False
Dell_i5_32GB_2TB_14-16in,Dell,6,532.17,399.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,32.0,1349.33,14-16in,i5,SKU-0098,979.6,5.73428,77.06288,34.481300000000005,62.06634000000001,Motherboard,Display Panel,54.32,54.32489451476793,57.4,Medium,False
Samsung_Unknown_Unk_Unk_Unk,Samsung,46,102.35,97.94,89.13043478260869,2.1739130434782608,0.0,0.0,89.13043478260869,,,Unk,Unknown,SKU-0007,532.4,4.30888,82.76447999999999,33.4465,60.203700000000005,Motherboard,Display Panel,19.22,19.224798288308886,57.3,Medium,False
Lenovo_i7_32GB_2TB_14-16in,Lenovo,5,459.0,400.0,0.0,40.0,60.0,0.0,60.0,30.4,1609.6,14-16in,i7,SKU-0110,1262.0,3.9432899999999997,84.22684,31.606199999999998,56.89116,Motherboard,Display Panel,36.37,36.370839936608554,57.2,Medium,False
Other/Unbranded_i5_Unk_256GB_14-16in,Other/Unbranded,12,439.78,433.2,8.333333333333332,91.66666666666666,0.0,0.0,8.333333333333332,,244.0,14-16in,i5,SKU-0044,670.0,3.35085,86.5966,29.936,53.8848,Motherboard,Display Panel,65.64,65.63805970149255,57.1,Medium,False
Dell_i5_Unk_512GB_12-14in,Dell,8,483.5,465.1,0.0,87.5,12.5,0.0,12.5,,464.0,12-14in,i5,SKU-0064,706.0,6.104520000000001,75.58192,32.5914,58.66452,Motherboard,Display Panel,68.48,68.48441926345609,57.1,Medium,False
Dell_i7_16GB_512GB_14-16in,Dell,26,505.31,363.0,7.6923076923076925,42.30769230769231,26.923076923076923,0.0,38.46153846153847,16.0,493.54,14-16in,i7,SKU-0012,974.8,5.76187,76.95251999999999,32.531099999999995,58.55597999999999,Motherboard,Display Panel,51.84,51.8370632240144,56.8,Medium,False
Lenovo_i5_16GB_2TB_14-16in,Lenovo,8,301.0,220.0,12.5,37.5,37.5,0.0,62.5,14.0,1024.0,14-16in,i5,SKU-0062,819.6,5.401890000000001,78.39244,31.5456,56.78208,Motherboard,Display Panel,36.73,36.7252318204002,56.3,Medium,False
