Brand,Price,Condition,GPU,Processor_Family,Processor_Speed_GHz,Type,OS,Storage_Type,Storage_GB,Screen_Size_in,RAM_GB,Model_Key
dell,625.0,Open Box,other,i7,4.4,other,windows,ssd,1024.0,16.0,32.0,dell_i7_large
dell,315.0,Unknown,amd,ryzen5,2.3,notebook/laptop,windows,ssd,512.0,14.0,16.0,dell_ryzen5_mid
dell,200.0,Used,intel,i5,2.6,notebook/laptop,windows,ssd,256.0,12.5,8.0,dell_i5_mid
other,227.4,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
hp,300.0,New,intel,i5,1.6,notebook/laptop,unknown,ssd,512.0,13.0,16.0,hp_i5_mid
microsoft,60.0,Used,other,i5,1.9,notebook/laptop,windows,ssd,128.0,12.0,4.0,microsoft_i5_small
lenovo,45.0,Unknown,intel,celeron,1.1,notebook/laptop,chrome,emmc,16.0,11.6,0.00390625,lenovo_celeron_small
hp,439.0,New,intel,i5,4.2,notebook/laptop,windows,ssd,2048.0,15.6,32.0,hp_i5_standard
other,206.6,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,345.0,Refurbished,intel,i5,3.1,notebook/laptop,windows,ssd,512.0,15.6,16.0,dell_i5_standard
other,242.0,New,intel,other,3.4,notebook/laptop,windows,ssd,512.0,15.6,16.0,other_other_standard
hp,420.0,Refurbished,intel,i7,4.2,notebook/laptop,windows,ssd,2048.0,14.0,,hp_i7_mid
lenovo,73.0,Used,other,celeron,1.6,notebook/laptop,windows,ssd,128.0,11.6,,lenovo_celeron_small
hp,209.0,Refurbished,intel,i5,2.5,notebook/laptop,windows,ssd,512.0,15.6,16.0,hp_i5_standard
other,150.0,New,intel,celeron,2.8,notebook/laptop,windows,ssd,256.0,14.1,8.0,other_celeron_standard
lenovo,799.0,Unknown,nvidia,i7,3.5,notebook/laptop,windows,ssd,512.0,16.0,16.0,lenovo_i7_large
lenovo,100.0,Used,intel,i5,1.9,notebook/laptop,unknown,ssd,256.0,14.0,8.0,lenovo_i5_mid
dell,219.0,Used,other,i7,3.9,notebook/laptop,windows,ssd,512.0,15.61,16.0,dell_i7_standard
dell,152.5,Used,intel,i5,1.6,notebook/laptop,windows,ssd,256.0,14.0,8.0,dell_i5_mid
other,269.5,New,intel,celeron,2.8,notebook/laptop,windows,ssd,512.0,13.5,12.0,other_celeron_mid
lenovo,130.0,Used,other,i5,,other,unknown,unknown,256.0,14.0,16.0,lenovo_i5_mid
dell,489.0,New,amd,ryzen5,4.5,notebook/laptop,windows,ssd,512.0,15.6,16.0,dell_ryzen5_standard
dell,120.0,Used,other,i5,2.4,notebook/laptop,unknown,ssd,8.0,14.0,8.0,dell_i5_mid
lg,550.0,Used,other,i7,,notebook/laptop,windows,unknown,512.0,17.3,16.0,lg_i7_large
hp,29.98,Used,other,celeron,2.16,notebook/laptop,chrome,ssd,16.0,14.0,16.0,hp_celeron_mid
hp,145.0,Refurbished,intel,i3,2.3,notebook/laptop,windows,ssd,512.0,15.6,8.0,hp_i3_standard
dell,160.0,Used,other,i5,2.3,other,windows,ssd,256.0,15.6,8.0,dell_i5_standard
hp,85.0,Refurbished,intel,celeron,,notebook/laptop,chrome,emmc,16.0,11.6,4.0,hp_celeron_small
microsoft,69.6,For Parts,other,i5,,notebook/laptop,unknown,ssd,256.0,12.5,,microsoft_i5_mid
hp,70.0,Used,intel,celeron,1.6,other,chrome,emmc,16.0,11.6,4.0,hp_celeron_small
hp,49.0,Used,other,other,1.6,notebook/laptop,chrome,emmc,16.0,11.6,4.0,hp_other_small
dell,130.0,Used,intel,i7,2.6,notebook/laptop,windows,ssd,256.0,12.5,8.0,dell_i7_mid
lenovo,135.0,For Parts,other,other,,other,unknown,unknown,,14.0,,lenovo_other_mid
lenovo,81.0,Unknown,other,i5,2.5,notebook/laptop,windows,hdd/ssd,120.0,12.5,4.0,lenovo_i5_mid
microsoft,103.75,Unknown,other,other,2.6,other,unknown,ssd,512.0,13.5,1.0,microsoft_other_mid
dell,200.0,Used,nvidia,i5,2.5,notebook/laptop,windows,ssd,256.0,15.6,8.0,dell_i5_standard
dell,288.0,Used,intel,i7,2.8,notebook/laptop,windows,ssd,512.0,12.5,,dell_i7_mid
dell,105.0,Used,other,i5,2.6,notebook/laptop,windows,ssd,256.0,14.0,8.0,dell_i5_mid
dell,39.94,Used,other,celeron,1.6,notebook/laptop,chrome,emmc,16.0,13.3,4.0,dell_celeron_mid
lenovo,90.0,Used,other,i3,2.3,other,windows,ssd,128.0,11.6,8.0,lenovo_i3_small
lenovo,599.0,New,intel,i5,4.2,notebook/laptop,windows,ssd,1024.0,15.6,20.0,lenovo_i5_standard
other,800.0,Used,other,i7,1.73,notebook/laptop,windows,hdd/ssd,500.0,18.4,8.0,other_i7_large
dell,170.0,Refurbished,other,i5,2.4,notebook/laptop,unknown,ssd,500.0,14.0,16.0,dell_i5_mid
dell,239.0,Used,other,i7,2.7,notebook/laptop,windows,ssd,512.0,15.6,16.0,dell_i7_standard
dell,169.0,Used,intel,i7,1.8,notebook/laptop,windows,unknown,256.0,13.3,8.0,dell_i7_mid
hp,290.0,Refurbished,intel,i5,2.6,notebook/laptop,windows,ssd,500.0,14.0,32.0,hp_i5_mid
dell,90.0,Used,other,i7,,notebook/laptop,unknown,other,,14.0,8.0,dell_i7_mid
lenovo,105.0,Used,other,i5,2.6,notebook/laptop,unknown,unknown,180.0,12.5,8.0,lenovo_i5_mid
microsoft,409.0,Open Box,intel,i5,2.4,notebook/laptop,windows,ssd,256.0,12.3,8.0,microsoft_i5_mid
dell,200.0,Used,intel,i5,2.4,notebook/laptop,windows,ssd,256.0,14.0,8.0,dell_i5_mid
lenovo,55.0,Unknown,mali,other,2.0,other,chrome,emmc,32.0,10.1,,lenovo_other_small
other,225.0,New,amd,celeron,2.8,notebook/laptop,windows,ssd,512.0,15.6,12.0,other_celeron_standard
hp,659.0,Unknown,nvidia,i5,2.1,notebook/laptop,windows,ssd,512.0,15.6,8.0,hp_i5_standard
dell,229.0,Used,intel,i5,1.7,notebook/laptop,unknown,ssd,512.0,14.0,16.0,dell_i5_mid
hp,210.0,Used,other,i7,,notebook/laptop,unknown,ssd,512.0,15.6,16.0,hp_i7_standard
lenovo,180.0,Used,intel,i7,2.6,notebook/laptop,windows,ssd,512.0,,16.0,lenovo_i7_unknown
other,675.0,Used,other,i5,2.4,other,windows,ssd,,12.0,16.0,other_i5_small
dell,125.94,Refurbished,intel,i5,2.4,notebook/laptop,windows,ssd,240.0,14.0,8.0,dell_i5_mid
lenovo,90.0,Used,intel,celeron,2.2,notebook/laptop,windows,ssd,128.0,13.0,4.0,lenovo_celeron_mid
other,271.8,Refurbished,other,other,,other,unknown,unknown,,,,other_other_unknown
hp,999.0,Used,other,i5,1.6,notebook/laptop,unknown,ssd,256.0,15.6,8.0,hp_i5_standard
lenovo,229.0,Used,other,i5,1.7,notebook/laptop,windows,ssd,256.0,14.0,16.0,lenovo_i5_mid
asus,293.0,Unknown,intel,i3,1.8,notebook/laptop,windows,ssd,256.0,15.6,8.0,asus_i3_standard
dell,185.0,Used,other,i5,1.7,other,unknown,ssd,512.0,14.0,16.0,dell_i5_mid
hp,259.0,Used,intel,i7,2.1,notebook/laptop,windows,ssd,256.0,11.6,8.0,hp_i7_small
other,115.0,Used,other,other,,notebook/laptop,linux,unknown,,7.2,,other_other_small
acer,41.0,Used,intel,celeron,2.48,notebook/laptop,chrome,emmc,32.0,11.6,4.0,acer_celeron_small
dell,75.0,Used,other,celeron,1.1,notebook/laptop,windows,ssd,128.0,11.6,4.0,dell_celeron_small
hp,510.0,Used,other,ryzen3,,notebook/laptop,unknown,unknown,256.0,14.0,16.0,hp_ryzen3_mid
lenovo,170.0,Unknown,intel,celeron,1.1,notebook/laptop,windows,emmc,128.0,14.0,4.0,lenovo_celeron_mid
other,59.8,For Parts,other,other,,other,unknown,unknown,,,,other_other_unknown
hp,44.75,Used,other,celeron,1.1,notebook/laptop,chrome,ssd,32.0,11.6,4.0,hp_celeron_small
dell,209.0,Used,other,i5,,other,unknown,unknown,,14.1,,dell_i5_standard
lenovo,180.0,Used,other,celeron,,other,chrome,ssd,16.0,11.6,4.0,lenovo_celeron_small
dell,220.0,Refurbished,intel,i7,2.6,notebook/laptop,windows,ssd,500.0,12.5,16.0,dell_i7_mid
dell,260.0,Refurbished,other,i7,1.9,notebook/laptop,windows,ssd,512.0,13.3,16.0,dell_i7_mid
other,59.4,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,306.8,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,73.0,New,other,other,,other,unknown,unknown,,,,lenovo_other_unknown
dell,389.8,Used,intel,i5,,notebook/laptop,windows,unknown,480.0,14.0,,dell_i5_mid
other,107.44,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,1179.0,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,300.0,Used,intel,i5,2.0,notebook/laptop,windows,ssd,256.0,14.0,12.0,dell_i5_mid
hp,69.0,Used,intel,other,2.0,notebook/laptop,linux,ssd,240.0,14.0,3.0,hp_other_mid
lenovo,244.8,Used,intel,other,1.6,other,windows,unknown,256.0,14.0,16.0,lenovo_other_mid
other,10.52,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,370.0,Unknown,intel,i5,1.6,notebook/laptop,windows,ssd,256.0,13.3,8.0,lenovo_i5_mid
lenovo,270.0,Unknown,intel,i3,1.2,notebook/laptop,windows,ssd,256.0,14.0,8.0,lenovo_i3_mid
other,64.6,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,65.06,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,61.6,New,other,other,,other,unknown,unknown,,,,lenovo_other_unknown
other,26.05,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,384.5,Used,intel,i5,2.6,notebook/laptop,windows,unknown,480.0,14.0,,dell_i5_mid
other,13.02,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,24.25,Used,other,other,,other,unknown,unknown,,15.6,,dell_other_standard
dell,470.5,Used,intel,i5,2.8,notebook/laptop,windows,unknown,240.0,12.5,,dell_i5_mid
acer,90.0,Used,intel,celeron,1.1,notebook/laptop,windows,ssd,128.0,14.0,4.0,acer_celeron_mid
other,420.0,New,other,celeron,,notebook/laptop,windows,ssd,256.0,14.1,8.0,other_celeron_standard
other,7.26,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,199.0,Used,intel,other,1.2,notebook/laptop,windows,ssd,128.0,11.6,8.0,dell_other_small
microsoft,200.0,Unknown,intel,i7,2.5,notebook/laptop,windows,ssd,256.0,13.5,8.0,microsoft_i7_mid
hp,390.0,New,intel,i5,2.4,notebook/laptop,windows,ssd,256.0,15.6,8.0,hp_i5_standard
other,582.5,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,42.3,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,405.5,Used,intel,i5,3.0,notebook/laptop,windows,ssd,240.0,13.3,,other_i5_mid
other,298.8,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,81.4,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,380.0,Used,other,i3,,other,unknown,unknown,,15.6,,other_i3_standard
dell,125.0,Used,other,other,2.0,notebook/laptop,windows,hdd/ssd,160.0,15.4,3.0,dell_other_standard
other,111.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,78.2,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,32.56,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,250.0,Unknown,other,ryzen5,2.1,other,windows,ssd,256.0,15.6,8.0,lenovo_ryzen5_standard
other,344.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,405.5,Used,intel,i5,3.0,notebook/laptop,windows,ssd,240.0,13.3,,other_i5_mid
hp,140.0,Unknown,intel,pentium,1.1,notebook/laptop,chrome,ssd,64.0,14.0,4.0,hp_pentium_mid
hp,759.0,Unknown,other,other,,notebook/laptop,windows,ssd,256.0,13.0,8.0,hp_other_mid
lenovo,1197.0,Unknown,intel,i7,1.7,notebook/laptop,windows,ssd,512.0,14.0,16.0,lenovo_i7_mid
dell,400.0,Used,other,other,,notebook/laptop,unknown,unknown,,15.6,,dell_other_standard
other,96.56,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,26.16,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,425.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,461.8,Used,intel,i5,3.0,notebook/laptop,windows,hdd/ssd,120.0,14.0,,lenovo_i5_mid
other,216.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,487.5,Used,intel,i5,2.8,notebook/laptop,windows,unknown,240.0,12.5,,dell_i5_mid
other,449.2,Refurbished,nvidia,other,,other,unknown,unknown,,,,other_other_unknown
other,487.2,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,530.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,354.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,859.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,1724.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,812.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,70.3,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,22.34,For Parts,other,other,,other,unknown,unknown,,,,other_other_unknown
other,269.5,Used,other,i5,2.5,notebook/laptop,unknown,unknown,,,4.0,other_i5_unknown
other,92.1,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,240.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,357.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,436.0,Used,intel,i3,3.0,notebook/laptop,windows,ssd,240.0,13.3,,other_i3_mid
dell,144.0,Used,intel,i5,2.5,notebook/laptop,unknown,hdd/ssd,240.0,14.0,4.0,dell_i5_mid
dell,430.2,Used,intel,i5,2.8,notebook/laptop,windows,unknown,240.0,12.5,,dell_i5_mid
other,276.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,165.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,323.8,Used,intel,i5,2.6,notebook/laptop,windows,unknown,120.0,14.0,,dell_i5_mid
other,88.7,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,110.06,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,475.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,48.84,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,627.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,443.8,Used,intel,i5,2.3,notebook/laptop,windows,ssd,240.0,12.5,,dell_i5_mid
other,650.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,94.1,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,269.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,425.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,546.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,1752.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,2108.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
lg,93.75,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,81.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,113.75,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,358.8,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,301.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,103.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,108.06,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,91.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,106.56,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,85.75,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lg,93.25,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,81.6,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,41.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,296.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,84.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,75.0,Used,intel,i5,2.7,notebook/laptop,windows,hdd/ssd,200.0,14.0,4.0,dell_i5_mid
other,166.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,456.8,Refurbished,intel,i3,3.0,notebook/laptop,windows,ssd,120.0,13.3,,lenovo_i3_mid
other,959.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,27.12,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,314.5,Used,intel,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
dell,400.2,Used,other,i5,2.3,other,windows,unknown,,,8.0,dell_i5_unknown
dell,214.8,Used,intel,other,1.6,other,windows,unknown,240.0,14.0,8.0,dell_other_mid
lenovo,708.0,Refurbished,intel,i5,3.0,notebook/laptop,windows,ssd,480.0,14.0,,lenovo_i5_mid
other,326.2,Refurbished,nvidia,other,,other,unknown,unknown,,,,other_other_unknown
other,329.8,Used,intel,i3,3.0,notebook/laptop,windows,ssd,256.0,13.3,,other_i3_mid
other,110.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,304.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,162.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
acer,67.06,New,other,other,,other,unknown,unknown,,,,acer_other_unknown
other,382.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,85.7,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,651.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,104.94,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,1703.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,127.75,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,1291.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,731.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,827.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,310.8,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,335.8,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,203.0,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,101.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,62.94,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,116.25,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,20.78,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,104.44,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,667.5,Refurbished,intel,i5,,other,windows,unknown,960.0,15.6,,other_i5_standard
other,332.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,339.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,131.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,29.86,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,1132.0,Used,intel,i5,,other,windows,unknown,2048.0,14.0,,lenovo_i5_mid
other,60.78,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,453.8,Used,intel,i3,2.4,notebook/laptop,windows,ssd,240.0,13.3,,lenovo_i3_mid
samsung,70.0,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
other,354.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,571.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,283.2,Used,nvidia,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,318.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,100.1,Used,amd,other,,other,unknown,unknown,,,,other_other_unknown
other,325.8,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,47.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,338.8,Refurbished,nvidia,other,,other,unknown,unknown,,,,other_other_unknown
other,445.8,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,596.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,117.06,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,342.2,Refurbished,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,639.0,Used,intel,celeron,,notebook/laptop,windows,unknown,240.0,15.6,,lenovo_celeron_standard
other,89.25,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,512.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,335.8,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,559.5,Used,intel,i5,2.7,notebook/laptop,windows,unknown,2048.0,14.0,,dell_i5_mid
dell,352.5,Used,intel,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,341.8,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,691.5,Used,intel,i3,3.0,notebook/laptop,windows,hdd/ssd,960.0,15.6,,lenovo_i3_standard
other,405.2,Used,nvidia,other,,other,unknown,unknown,,,,other_other_unknown
lg,95.0,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,116.56,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,21.8,For Parts,other,celeron,,other,unknown,unknown,,14.1,,other_celeron_standard
lenovo,626.0,Used,intel,i5,3.0,notebook/laptop,windows,ssd,240.0,14.0,,lenovo_i5_mid
other,481.8,Refurbished,intel,i5,3.0,notebook/laptop,windows,ssd,480.0,13.3,,other_i5_mid
dell,389.8,Used,intel,i5,,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,516.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,85.06,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,500.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,462.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,28.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,491.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,392.0,Used,intel,i5,2.6,notebook/laptop,windows,unknown,480.0,14.0,,dell_i5_mid
other,383.5,Used,intel,i3,3.0,notebook/laptop,windows,ssd,120.0,13.3,,other_i3_mid
dell,568.5,Used,intel,i5,2.3,notebook/laptop,windows,ssd,960.0,12.5,,dell_i5_mid
other,573.0,Used,intel,i5,3.0,notebook/laptop,windows,ssd,960.0,15.6,,other_i5_standard
other,142.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,10.85,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,80.75,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,23.88,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,251.6,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,451.5,Used,nvidia,i5,2.6,notebook/laptop,windows,unknown,960.0,14.0,,dell_i5_mid
other,80.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,478.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,766.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,221.2,Unknown,other,other,,notebook/laptop,unknown,hdd/ssd,,15.6,,dell_other_standard
other,399.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,45.1,New,other,other,,other,unknown,unknown,,,,lenovo_other_unknown
other,92.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,1463.0,Used,intel,i5,2.8,notebook/laptop,windows,unknown,4096.0,12.5,,dell_i5_mid
other,373.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,416.2,Used,intel,i5,2.6,notebook/laptop,windows,unknown,480.0,14.0,,dell_i5_mid
other,394.8,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,382.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,293.2,Used,intel,i5,2.6,notebook/laptop,windows,unknown,120.0,14.0,,dell_i5_mid
other,783.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,727.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
hp,699.0,New,nvidia,i5,4.4,notebook/laptop,windows,ssd,2048.0,15.6,64.0,hp_i5_standard
other,391.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,411.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,229.6,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,199.9,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,542.5,Unknown,other,other,,notebook/laptop,unknown,unknown,,,,lenovo_other_unknown
other,548.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,655.5,New,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,464.5,Used,intel,i3,2.4,notebook/laptop,windows,ssd,120.0,13.0,,lenovo_i3_mid
dell,334.2,Used,intel,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
